Annex 4,,,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,"Agriculture, forestry & fishing",% Growth,Manufacturing,% Growth,Construction,% Growth,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,% Growth,Transportation and Storage,% Growth,Accommodation and Food Service Activities,% Growth,Information and communication,% Growth,Financial and insurance activities,% Growth,Public Administartion and Defence,% Growth,Education,% Growth,Human Health and Social Work Activities,% Growth,Overall Index,% Growth
2019 July,2076 Asadh,80.07924107918998,10.513906044168724,66.06642818019289,7.395884391774206,80.80657224001254,6.884003188119861,-,-,-,-,-,-,60.12575909629785,6.334348267033175,45.88686974213171,1.1508314805186293,67.92791109423857,7.765643060492233,74.7423153473073,10.260029789286552,-,-,74.19774461370659,9.095757940545699
2019 October,2076 Asojh,83.65876253109393,10.774548925687318,72.96643894763255,15.279049465209518,83.19281764679509,8.433855059035992,-,-,-,-,-,-,71.59926772796913,19.591990144593687,57.07444731040203,25.434766065683906,77.11622433867899,13.526565290213593,80.67096123029107,10.563428607378365,-,-,79.42087241406445,12.07855036205032
2020 January,2076 Poush,84.39100858975362,8.448788453864676,72.61914124398822,12.055385585062725,84.2973126420566,7.720094980652409,-,-,-,-,-,-,71.63827743182446,19.5919901445937,57.465925478460406,25.43476606568391,77.11622433867899,13.526565290213593,81.6658336280066,10.563428607378354,-,-,79.81024931516048,10.03690148184859
2020 April,2076 Chaitra,84.78594642481596,4.654161720292133,72.76418556195085,10.341542808215289,84.81962294463784,5.158289041924589,-,-,-,-,-,-,71.86668620023022,19.591990144593694,57.54632269667012,25.4347660656839,77.11622433867899,13.526565290213593,81.93660921961316,10.56342860737834,-,-,80.11861285682532,7.48691242236913
2020 July,2077 Asadh,83.8062584633981,4.65416172029213,72.89871613230635,10.341542808215296,84.09676708753996,4.071692136321344,-,-,-,-,-,-,71.90559189280667,19.591990144593694,57.558087715908,25.43476606568391,77.11622433867899,13.526565290213593,82.6376664685217,10.563428607378357,-,-,79.68915220284553,7.401043815723361
2020 October,2077 Asojh,84.72550762341658,1.2751145965447015,73.6588398912347,0.9489307051137343,83.78184371005503,0.7080251395748081,-,-,-,-,-,-,71.59926772796913,0,57.07444731040203,0,77.11622433867899,0,80.67096123029107,0,-,-,80.15497490450623,0.9243193484635969
2021 January,2077 Poush,86.53094183670083,2.5357360727254417,73.62648894105826,1.3871655321363698,85.68679204040492,1.6483080596511281,-,-,-,-,-,-,71.63827743182446,0,57.465925478460406,0,77.11622433867899,0,81.6658336280066,0,-,-,81.18374195860909,1.7209476918495357
2021 April,2077 Chaitra,87.0811414774595,2.7070465677691082,73.77354526380597,1.3871655321363516,87.13764453071786,2.7328836248105053,-,-,-,-,-,-,71.86668620023022,0,57.54632269667012,0,77.11622433867899,0,81.93660921961316,0,-,-,81.63040114140611,1.8869376673837392
2021 July,2078 Asadh,87.13141259928037,3.967668043949861,74.12301116390908,1.6794466302818307,88.50477181903305,5.241586429719244,-,-,-,-,-,-,71.90559189280667,0,57.558087715908,0,77.11622433867899,0,82.6376664685217,0,-,-,81.89128363215565,2.7634017534841844
2021 October,2078 Asojh,87.47359092687016,3.243513530385817,76.64617687800013,4.055639474062524,87.97008848397523,4.998988549851588,-,-,-,-,-,-,71.59926772796913,0,73.19543397441115,28.24554143526679,86.37116092124157,12.001283338142636,88.02693115777785,9.118485530980255,-,-,84.0990218654182,4.920526724150008
2022 January,2078 Poush,88.7676186892512,2.584828969932356,80.14004417487348,8.846755192998074,88.6829618618404,3.4966530431232066,-,-,-,-,-,-,71.63827743182446,0,73.69748727063848,28.24554143526679,86.37116092124157,12.001283338142636,89.1125208511308,9.11848553098027,-,-,85.86633363574848,5.767893378857517
2022 April,2078 Chaitra,92.25739431886403,5.944172014263708,83.0212436078619,12.535250015418395,91.75098780737706,5.294317170844448,-,-,-,-,-,-,71.86668620023029,9.886955602494775e-14,73.80059311843041,28.24554143526679,86.37116092124157,12.001283338142636,89.40798707587943,9.118485530980271,-,-,88.5885465367719,8.523963251524865
2022 July,2079 Asadh,93.4820999885107,7.288631275194983,83.17473801129586,12.211763533689403,93.33342825473306,5.4558147955832625,-,-,-,-,-,-,71.90559189280674,9.881606104005688e-14,73.815681231052,28.245541435266787,86.37116092124157,12.001283338142636,90.17297012859358,9.118485530980259,-,-,89.33362641298842,9.088076838876713
