Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2019 October,2076 Asojh,75.1629326632844,7.268895957605928,-,-,84.15218477974577,15.174737876053108,84.74431240912546,18.130367600765027,77.8893537065814,13.080101166242262,-,-,-,-,73.6121164791287,14.517791288937577,-,-,80.75981799870563,10.990625104761278,79.42087241406445,12.07855036205032
2020 January,2076 Poush,75.1629326632844,7.268895957605928,-,-,84.97533776421417,15.17473787605311,84.93172305679079,18.130367600765023,78.72101826653306,13.080101166242248,-,-,-,-,73.5000829967667,11.209868807480573,-,-,81.14021809829447,8.5538544265758,79.81024931516048,10.03690148184859
2020 April,2076 Chaitra,75.1629326632844,7.268895957605928,-,-,85.23353755723902,15.174737876053113,85.3416530116259,18.130367600765037,78.86036227917596,13.08010116624225,-,-,-,-,73.86815844893609,8.401587340999088,-,-,81.6493980453944,5.255754200093112,80.11861285682532,7.48691242236913
2020 July,2077 Asadh,75.1629326632844,7.268895957605928,-,-,85.86981561862166,15.174737876053108,85.34933303089248,18.130367600765013,79.2105169291404,13.080101166242267,-,-,-,-,73.57352060978637,7.849531783883005,-,-,81.03096271805518,5.251325484058271,79.68915220284553,7.401043815723361
2020 October,2077 Asojh,75.1629326632844,0,-,-,84.15218477974577,0,84.74431240912546,0,77.8893537065814,0,-,-,-,-,74.34870747684019,1.000638254872531,-,-,81.75893843918925,1.2371504359997887,80.15497490450623,0.9243193484635969
2021 January,2077 Poush,75.1629326632844,0,-,-,84.97533776421417,0,84.93172305679079,0,78.72101826653306,0,-,-,-,-,74.50205083857723,1.3632200141251773,-,-,83.10759346909016,2.4246611814777053,81.18374195860909,1.7209476918495357
2021 April,2077 Chaitra,75.1629326632844,0,-,-,85.23353755723902,0,85.3416530116259,0,78.86036227917596,0,-,-,-,-,75.10045602968863,1.6682392070250567,-,-,83.78563695923864,2.61635598667434,81.63040114140611,1.8869376673837392
2021 July,2078 Asadh,75.1629326632844,0,-,-,85.86981561862166,0,85.34933303089248,0,79.2105169291404,0,-,-,-,-,75.46994069097578,2.577585067931563,-,-,84.10915036069939,3.7987795521505427,81.89128363215565,2.7634017534841844
2021 October,2078 Asojh,87.71396005065932,16.698426927540385,-,-,90.5261546909095,7.574336813531965,88.12321982731729,3.987178988342327,85.76385362446555,10.109853969964037,-,-,-,-,77.21365088551293,3.853386973223685,-,-,84.68377565746945,3.577391382662877,84.0990218654182,4.920526724150008
2022 January,2078 Poush,87.71396005065932,16.698426927540385,-,-,91.41165605491217,7.574336813531957,88.31810287294824,3.987178988342327,86.67959825694828,10.109853969964048,-,-,-,-,79.79407815896812,7.103196839315287,-,-,86.56605161396861,4.161422561423028,85.86633363574848,5.767893378857517
